date,stock_value,cash,total_value,daily_return,benchmark_return,week,month
2025-05-05,968808.1459274292,-899939.2,68868.94592742925,-0.05595963255019332,-0.006381597588933863,2025-05-05/2025-05-11,2025-05
2025-05-06,957343.263671875,-899939.2,57404.06367187505,-0.16647390345766777,-0.007693239651855532,2025-05-05/2025-05-11,2025-05
2025-05-07,955754.3581771851,-899939.2,55815.158177185105,-0.02767932081903146,0.00434635623313584,2025-05-05/2025-05-11,2025-05
2025-05-08,955949.9253082275,-899939.2,56010.725308227586,0.0035038354710319464,0.005799775094835535,2025-05-05/2025-05-11,2025-05
2025-05-09,959319.8932495117,-899939.2,59380.693249511765,0.06016647566585176,-0.0007114809122162891,2025-05-05/2025-05-11,2025-05
2025-05-10,959319.8932495117,-899939.2,59380.693249511765,0.0,,2025-05-05/2025-05-11,2025-05
2025-05-11,959319.8932495117,-899939.2,59380.693249511765,0.0,,2025-05-05/2025-05-11,2025-05
2025-05-12,979165.0805053711,-899939.2,79225.88050537114,0.33420268726860214,0.032558782749008364,2025-05-12/2025-05-18,2025-05
2025-05-13,980038.4490814209,-899939.2,80099.24908142095,0.011023778725824274,0.0072482009835321826,2025-05-12/2025-05-18,2025-05
2025-05-14,983105.2007293701,-899939.2,83166.00072937016,0.03828689635819016,0.001024415597859818,2025-05-12/2025-05-18,2025-05
2025-05-15,989529.4647979736,-899939.2,89590.26479797368,0.07724627867472744,0.004132332074135769,2025-05-12/2025-05-18,2025-05
2025-05-16,998761.6878204346,-899939.2,98822.48782043462,0.10304939987932427,0.007005272294898557,2025-05-12/2025-05-18,2025-05
2025-05-17,998761.6878204346,-899939.2,98822.48782043462,0.0,,2025-05-12/2025-05-18,2025-05
2025-05-18,998761.6878204346,-899939.2,98822.48782043462,0.0,,2025-05-12/2025-05-18,2025-05
2025-05-19,1006872.1826400757,-899939.2,106932.98264007573,0.08207134831879848,0.0008761131291423752,2025-05-19/2025-05-25,2025-05
2025-05-20,998312.4500274658,-899939.2,98373.25002746587,-0.08004763732646414,-0.0038802294486252054,2025-05-19/2025-05-25,2025-05
2025-05-21,1003464.046043396,-899939.2,103524.84604339604,0.0523678542133339,-0.01613513066101424,2025-05-19/2025-05-25,2025-05
2025-05-22,986286.9120025635,-899939.2,86347.71200256352,-0.1659228165732517,-0.00044487103794299543,2025-05-19/2025-05-25,2025-05
2025-05-23,982593.1914367676,-899939.2,82653.99143676762,-0.04277728361448929,-0.006708297825321674,2025-05-19/2025-05-25,2025-05
2025-05-24,982593.1914367676,-899939.2,82653.99143676762,0.0,,2025-05-19/2025-05-25,2025-05
2025-05-25,982593.1914367676,-899939.2,82653.99143676762,0.0,,2025-05-19/2025-05-25,2025-05
2025-05-26,995871.933921814,-899939.2,95932.73392181401,0.16065458248565,,2025-05-26/2025-06-01,2025-05
2025-05-27,995206.4806976318,-899939.2,95267.28069763188,-0.006936664858571362,0.0204590558452733,2025-05-26/2025-06-01,2025-05
2025-05-28,985167.7281188965,-899939.2,85228.52811889653,-0.10537461030925477,-0.005571225417268844,2025-05-26/2025-06-01,2025-05
2025-05-29,985167.7281188965,-899939.2,85228.52811889653,0.0,0.004011194261904327,2025-05-26/2025-06-01,2025-05
2025-05-30,985167.7281188965,-899939.2,85228.52811889653,0.0,-8.118516130162234e-05,2025-05-26/2025-06-01,2025-05
2025-05-31,985167.7281188965,-899939.2,85228.52811889653,0.0,,2025-05-26/2025-06-01,2025-05
2025-06-01,985167.7281188965,-899939.2,85228.52811889653,0.0,,2025-05-26/2025-06-01,2025-06
2025-06-02,986997.1341247559,-899939.2,87057.9341247559,0.021464714295045706,0.0041020419271569075,2025-06-02/2025-06-08,2025-06
2025-06-03,982711.9088592529,-899939.2,82772.70885925298,-0.049222684969322916,0.005800290454605506,2025-06-02/2025-06-08,2025-06
2025-06-04,994714.7236633301,-899939.2,94775.52366333012,0.14500932698103153,7.36874595066439e-05,2025-06-02/2025-06-08,2025-06
2025-06-05,994714.7236633301,-899939.2,94775.52366333012,0.0,-0.005277383403094138,2025-06-02/2025-06-08,2025-06
2025-06-06,1007798.0286102295,-899939.2,107858.82861022954,0.13804518763067009,0.010280683010067904,2025-06-02/2025-06-08,2025-06
2025-06-07,1007798.0286102295,-899939.2,107858.82861022954,0.0,,2025-06-02/2025-06-08,2025-06
2025-06-08,1007798.0286102295,-899939.2,107858.82861022954,0.0,,2025-06-02/2025-06-08,2025-06
2025-06-09,1007798.0286102295,-899939.2,107858.82861022954,0.0,0.0009199480792858594,2025-06-09/2025-06-15,2025-06
2025-06-10,1018977.7617340088,-899939.2,119038.56173400884,0.10365153476846678,0.00548298940767844,2025-06-09/2025-06-15,2025-06
2025-06-11,1023642.4539489746,-899939.2,123703.25394897466,0.039186395962923726,-0.002743888954607865,2025-06-09/2025-06-15,2025-06
2025-06-12,1021693.5716400146,-899939.2,121754.3716400147,-0.01575449510619853,0.0038224199557175265,2025-06-09/2025-06-15,2025-06
2025-06-13,1015822.9458847046,-899939.2,115883.74588470464,-0.0482169607237386,-0.011296379879250695,2025-06-09/2025-06-15,2025-06
2025-06-14,1015822.9458847046,-899939.2,115883.74588470464,0.0,,2025-06-09/2025-06-15,2025-06
2025-06-15,1015822.9458847046,-899939.2,115883.74588470464,0.0,,2025-06-09/2025-06-15,2025-06
2025-06-16,1013587.290145874,-899939.2,113648.09014587407,-0.019292228791558674,0.009392659896159117,2025-06-16/2025-06-22,2025-06
2025-06-17,1006255.0281524658,-899939.2,106315.82815246587,-0.0645172477953374,-0.008352184790166306,2025-06-16/2025-06-22,2025-06
2025-06-18,1000053.1804504395,-899939.2,100113.9804504395,-0.058334189836083405,-0.0003092402101070313,2025-06-16/2025-06-22,2025-06
2025-06-19,1003314.9680786133,-899939.2,103375.76807861333,0.03258074060683813,,2025-06-16/2025-06-22,2025-06
2025-06-20,998104.9957275391,-899939.2,98165.79572753911,-0.050398390724528674,-0.002178658486505891,2025-06-16/2025-06-22,2025-06
2025-06-21,998104.9957275391,-899939.2,98165.79572753911,0.0,,2025-06-16/2025-06-22,2025-06
